TEXT,Label
"Been friends since 7th grade. Look at us now we all following our dreams doing what we love and…
",0
"This is what it looks like when someone loves you unconditionally oh Puppy Brother. #htx…
",1
"RT @user this white family was invited to a Black barbecue and i've never laughed so hard in my life
",1
"Westenders @user #LAZzNation @ Weston, Toronto
",2
"Maxwell heads home @ Summa Akron City Hospital
",0
"Story On Saturday 136 Collins Ave, Miami Beach, FL 33139 Ladies Contact Me To Join Me In my…
",3
"Dragged my loving husband to a live episode of #hellofromthemagictavern ️ @ Javits Center
",4
"#AladdinSF was shining, shimmering, and splendid! Such a talented cast @ SHN: Broadway in San…
",0
"️Family ️ @ Wet'n'Wild Las Vegas
",4
"These have been SUCH A HIT ! READY TO RIDE Harley Davidson (TONS of cities from Hawaii to…
",3
"LINK IN MY BIO #boombap #90s #webster #mcgels #naturaldoc #southbronx #realhiphop #rawshit…
",3
"And I'm quick, cut a nigga off, so don't get comfortable... #bodakyellow #cardib…
",3
"️ @ Put-in-Bay, South Bass Island
",4
"First day of the year was #2k17 #ashland #oregon #snowboarding @ Mt. Ashland Ski Area
",3
"can we talk about how handsome my best friend is? ️ @ Kilen Woods…
",4
"#THIS . ️ This specially formulated hormone replacement cream was crucial for my wellbeing for…
",4
"missing this so much @ Bo Rein Stadium
",4
"Ry Lounge is def the move tomorrow rylounge #pullup #lucid #rylounge @ Ry Restaurant and…
",3
"This guy cracks me up. @ Mississippi
",1
"Starting a new Highlights things #aftertheshow Highlights @ Hollywood
",0
"they spelled my last name wrong but UO LET'S GOOO!!!! #vibejrs @user
",3
"Some things I can never get tired of! ️#radiocitymusichall #citylights #nyc #nycviews #nycvibes…
",4
"Happy birthday to my favorite little niece 5.4oz 18.75in And the…
",0
"We ️ you Fitz!! #hondacivictour
",4
"i highly recommend brick &amp; bagel and deli #miami #seeyounextfall…
",4
"Houston we have a .....! Every airport in the world should have one of these... i want to come…
",0
"Sun so blinding #lovebug #bug @ South Boston, M.A.
",1
"We are totally in with our cool new #FearlessSquad t-shirts from @user Thank you so…
",0
"#bridal show season!! Come see us October 29th at the Embassy Suites #gettingmarried…
",4
"Terrible quality but happy birthday, Anna I hope you've had a…
",4
"When you realize that you and your ""workout buddy"" are dressed like the foot ninjas from TMNT …
",1
"Like drinking dark chocolate. This was pure heaven. - Drinking The Nothing by @user at @user —…
",0
"Laceface makes sexy tubes. @ San Francisco, California
",0
"my first experience of NYC was the best @ New York, New York
",0
"Ayo #Indystry BEST OF THE BEAN VOLUME 1 HOSTED BY @user the Indymix is out…
",3
"️ #Love #Peace #Strength @ Life 360 Center Atlanta
",4
"So much @user to choose from. @ Ridge Hill
",0
"My beautiful princess #ChloeChanel #MyCrazyBaby #iLoveHer…
",4
"Love my play dates with Lola!! #doggieneice @ Columbia, Missouri
",4
"I ️LA #TANTRICTOUR2017 @user @user @ LAX - Los Angeles International Airport
",4
"These girls did great. They deserve a night out! @ PICKS Bar
",4
"Always Te amo, @user @ Los Angeles, California
",4
"I love you @ Memphis, Tennessee
",4
"Presenting for the first time...Mr. and Mrs. Christopher Garcia #nikonphotography…
",2
"Happy homecoming to my beautiful little Soph can't believe my first homecoming was 6 years ago and…
",4
"Last night was litty shoutout to @user for capturing my ways…
",3
"48hours in New Yoik! (@ American Airlines Admirals Club in Grapevine, TX)
",4
"|||| #3am #diner #goodvibes #people #composition @ Budd Lake Diner
",2
"She hated that @ South Coast Plaza
",1
"Rear back and aim, and Fire Away @ Toyota Amphitheatre
",3
"I ️ the fair! @ OC Fair
",4
"Galveston,TX Family Day #familytime #family1st ️ @ Galveston, Texas
",4
"[ S.W.A.G] ..#like4like #likesforlikes #likeforlike #followme @ Los Angeles, California
",1
"My two favs... of what I'm not sure.. @user @user @ City of Los Angeles
",0
"Lloyd Banks ""Untouchable"" freestyle ...#hot #hiphop #music #jblflip4 @ Lathrup Village,…
",3
"So so proud of the @user #VerifiedFan team! : @user @ Live Nation/ Ticketmaster…
",2
"When you been wearing your shirt inside out all day #wokeUpTooEarly
",1
"Born N Red Nuff Said #springgame @ Memorial Stadium
",4
"This is what happens when you let your voice students make up moves to vocal warm ups …
",1
"Back 2 da Bullshit! @user beno49ers #hahaha #tacomachit #washington @ Tacoma, Washington
",1
"How could you not love this? @ Chicago Loop
",0
"I've been DREAMING of the perfect fitting pants and I've finally found them! The only pair of…
",0
"Love ️.........#love #art #park #happy #loveislove #blue #instagram #snapchat #quotes…
",4
"Somehow, we don't have a picture together but here's two I've…
",1
"so lucky to have called this home for the last 4 years @ Niagara Falls, Ontario
",0
"Saturday July 22nd | #SocialSaturdays w/ @user music…
",3
"""All I need is 12 homies!"" @ Directions Outreach Ministries
",1
"The Rangers newest fan! Thanks @user for the corporate box #nyc #rangers #rangerstown…
",0
"We've been counting the days for this @ The Harbor Grand
",4
"️ me some Tennessee!!!Epic Night of Music at Tootsies in Nashville! #michaelshaunbrown #gadv…
",4
"Philadelphia, Pennsylvania ️ Spent the day in the rain, but enjoyed it nonetheless. There's…
",4
"I had flounder Rich had Redfish @ Boathouse Rotisserie &amp; Raw Bar
",0
"NeXT Friday !!!October 23 #RandyFlowLive #MegaJay#Temptation @user Daleeee !!! @user
",3
"The more you celebrating, the more you have to celebrate ️ believe, love &amp; happiness. Happy…
",4
"PAULO PASCUAL DAILY: @ the 90's concert Lit w/ my Pinsans!..... (07.15.17).....…
",3
"Feeling the love at @user last-night ️ #anjunadeep #audiosanfrancisco #josephashworth…
",4
"My baby @ Los Angeles, California
",0
"No shame in my chopstick game @ Sakana
",1
"TONS OF MID CENTURY GIFTS FOR SALE (and new inventory added daily MASSIVE and perfect for…
",0
"Our little pains in the ass. ️ #catlady @ Las Vegas, Nevada
",4
"Say 117This boo camsfart here just graduated, and I'm so proud of him I remember when he was…
",4
"Snowy Friday#Tortlaw #snowdaypjs #HurlockMD @ Bayliss Home
",4
"Ohhhhh lukebryan you were amazing. Thank You! Thank you B.O.C for this amazing festival for 5…
",4
"Happy Birthday Mickey! Look how precious little boo is We'll be back to the park soon!! #FBF…
",0
"I thought I was going much faster than this looks. #thankyouskateboarding #48nsk8 #napask8r…
",1
"A nice lake breeze puts the mind at ease... #nikonphotography #laketravis #austin #lake…
",2
"Go watch my new video #MyShoes #linkinmybio #NewMusic #UnsignedHype #Rap #Djjayhood #Trap…
",3
"Throwback Thursday cause this came up on my Timehop today and cause peterpagano didn't have…
",1
"Houston @ Houston, Texas
",3
"just watch everybody hates Chris for 7 hours
",0
"HOTTEST SINGLE IN THE WORLD !!! #CookUp #newsingle LINK IN BIO ! @ Chicago, Illinois
",3
"Had to repost but happy new year. Lets achieve our goals this year. by kaylee__parrish /…
",2
"One of my fave pics from the weekend . #dapperday #latergram @ Disney's Magic Kingdom
",4
"It's beginning to look a lot like Christmas @ Odell, Illinois
",4
"My girl Paris ️ @ Hell's Kitchen, Manhattan
",4
